country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births),Health: Total expenditure (% of GDP),Education: Government expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Portugal,SouthernEurope,92226,10330,112.8,89.8,199122,2.3,22.3,75.4,55658,67580,-11922,1.3,2.9,9.5,5.1,110.4,281,34.9,250,84
Puerto Rico,Caribbean,8868,3663,413,92.6,102906,0.8,50,49.1,-99,-99,-99,1.5,6.3,-99,6.4,87.1,126,55.5,1,16
Qatar,WesternAsia,11607,2639,227.3,301.2,164641,0.2,56.4,43.5,57254,32058,25196,2,7.2,2.2,3.6,153.6,39,0,9166,846
Republic of Korea,EasternAsia,100284,50982,524.3,100.2,1377873,2.3,38,59.7,495418,406182,89236,1.2,3,7.4,5.1,118.5,111,63.5,2023,223
Republic of Moldova,EasternEurope,33846,4051,123.3,92.2,6475,13.4,20.8,65.8,2045,4020,-1975,1.3,14.3,10.3,7.5,108,35,12.3,15,23
Romania,EasternEurope,238391,19679,85.5,94,177956,4.8,34.9,60.3,63581,74605,-11024,1.5,8.7,5.6,3.1,107.1,104,29.5,1109,68
Russian Federation,EasternEurope,17098246,143990,8.8,86.8,1326016,4.7,31.8,63.5,285491,182257,103234,1.7,8.3,7.1,3.9,160,235,49.8,54829,208
Rwanda,EasternAfrica,26338,12208,494.9,96.2,8096,34.6,15.1,50.3,622,1778,-1157,4.2,44,7.5,3.6,70.5,62,19.2,84,8
Saint Helena,WesternAfrica,308,4,10.4,-99,-99,-99,-99,-99,~0,48,-48,-99,-99,-99,-99,30.7,100,5.1,0,41
Saint Kitts and Nevis,Caribbean,261,55,212.9,97,876,1.2,28.1,70.7,51,332,-280,-99,-99,5.1,2.8,131.8,52,42.3,0,59
Saint Lucia,Caribbean,539,179,293.2,95.9,1450,2.7,12.9,84.4,120,654,-535,1.5,10.9,6.7,4.9,101.5,62,33.4,0,33
Saint Pierre and Miquelon,NorthernAmerica,242,6,27.5,98.2,-99,-99,-99,-99,653,2629,-1976,-99,-99,-99,-99,-99,12,12.3,0,174
Saint Vincent and the Grenadines,Caribbean,389,110,281.8,101.7,738,7.5,17.2,75.3,47,335,-288,2,16.5,8.6,...,103.6,58,69.2,0,29
Samoa,Polynesia,2842,196,69.4,106.6,774,9.3,24.2,66.6,56,350,-294,4.2,18,7.2,...,58.5,93,60.4,2,24
San Marino,SouthernEurope,61,33,556.7,94.9,1565,0.1,33.3,66.6,-99,-99,-99,...,-99,6.1,2.4,115.2,1,0,-99,-99
Sao Tome and Principe,MiddleAfrica,964,204,212.8,99.2,334,12.3,14.7,73,10,139,-129,4.7,43.8,8.1,3.8,65.1,94,55.8,1,14
Saudi Arabia,WesternAsia,2206714,32938,15.3,132.9,653219,2.3,46,51.8,182329,135904,46426,2.7,13,4.7,...,176.6,131,0.5,25904,287
Senegal,WesternAfrica,196712,15851,82.3,96.6,13633,15.5,24.1,60.4,2640,5478,-2838,5,43.9,4.7,7.4,100,123,43.2,77,11
Serbia,SouthernEurope,88499,8791,100.5,95.6,37160,8.2,31.4,60.5,14852,19231,-4379,1.6,9.8,10.4,4.2,120.5,71,31.1,393,62
Seychelles,EasternAfrica,457,95,206,97.2,1363,2.7,13.6,83.8,335,833,-498,2.4,10.2,3.4,3.6,158.1,439,88.4,0,72
Sierra Leone,WesternAfrica,72300,7557,104.7,98.1,4483,51.4,17.6,31.1,466,958,-492,4.8,94.4,11.1,2.7,89.5,177,41.3,53,11
Singapore,South-easternAsia,719,5709,8155.5,97.7,292734,~0.0,26.4,73.6,329871,283009,46862,1.2,2.1,4.9,2.9,146.1,293,23.1,27,209
Sint Maarten (Dutch part),Caribbean,34,40,1180,95.7,1094,0.1,12.3,87.6,-99,-99,-99,-99,-99,-99,-99,-99,51,-99,-99,303
Slovakia,EasternEurope,49035,5448,113.3,94.6,87268,3.7,34.8,61.5,77565,75156,2409,1.4,5.7,8.1,4.2,122.3,54,40.3,264,121
Slovenia,SouthernEurope,20273,2080,103.3,98.6,42777,2.4,32.7,64.9,27585,26646,939,1.6,2.5,9.2,5.5,113.2,143,62,154,135
Solomon Islands,Melanesia,28896,611,21.8,103.4,1075,28.2,15.6,56.3,437,454,-17,4.1,30,5.1,...,72.7,245,78.3,3,11
Somalia,EasternAfrica,637657,14742,23.5,99.3,1559,60.2,7.4,32.5,925,530,394,6.6,79.5,-99,-99,52.5,175,10.3,129,12
South Africa,SouthernAfrica,1221037,56717,46.8,96.4,314571,2.4,28.9,68.7,74111,74744,-633,2.6,36.5,8.8,6,159.3,581,7.6,7102,122
South Sudan,EasternAfrica,658841,12576,20.6,100.4,13167,4.6,58,37.4,2389,750,1640,5.2,77.7,2.7,1.8,23.9,49,-99,337,2
Spain,SouthernEurope,505944,46354,92.9,96.2,1192955,2.6,23.6,73.7,281777,302539,-20762,1.3,2.9,9,4.3,107.9,617,36.8,1432,102
Sri Lanka,SouthernAsia,65610,20877,332.9,92.5,82316,8.7,30.7,60.6,10546,19501,-8955,2.1,8.2,3.5,2.2,112.8,587,33.1,179,20
State of Palestine,WesternAsia,6020,4921,817.4,102.9,12677,4.8,23.4,71.9,929,5058,-4128,4.2,20,-99,1.3,77.6,31,1.5,9,15
Sudan,NorthernAfrica,-99,40533,23,99.9,79546,32.4,20.1,47.6,1797,7658,-5861,4.8,48.7,8.4,...,70.5,133,-99,682,16
